feature,mean_abs_shap
FBXW8,0.0
FCF1,0.0
FCGRT,0.0
FCHO1,0.0
FCHO2,0.0
FDFT1,0.0
FDPS,0.0
FDX1,0.0
FECH,0.0
FEM1A,0.0
FEM1B,0.0
FRAT2,0.0
FEN1,0.0
FER,0.0
FEZ2,0.0
FGD4,0.0
FGD6,0.0
FGFR1,0.0
FGFR1OP,0.0
FGFR1OP2,0.0
FGGY,0.0
FHL3,0.0
FIBP,0.0
FIG4,0.0
FEM1C,0.0
FBXL3,0.0
FBXL4,0.0
FBXL5,0.0
FBXO11,0.0
FBXO21,0.0
FBXO22,0.0
FBXO28,0.0
FBXO3,0.0
FBXO30,0.0
FBXO33,0.0
FBXO34,0.0
FBXW7,0.0
FBXO38,0.0
FBXO42,0.0
FBXO45,0.0
FBXO46,0.0
FBXO5,0.0
FBXO7,0.0
FBXO8,0.0
FBXO9,0.0
FBXW11,0.0
FBXW2,0.0
FBXW4,0.0
FBXW5,0.0
FBXO36,0.0
FNBP1,0.0
FNBP1L,0.0
FNBP4,0.0
FNDC3A,0.0
FNDC3B,0.0
FNIP1,0.0
FNIP2,0.0
FNTA,0.0
FNTB,0.0
FOPNL,0.0
FOXJ3,0.0
FIGNL1,0.0
FOXK2,0.0
FOXM1,0.0
FOXN2,0.0
FOXN3,0.0
FOXO1,0.0
FOXO3,0.0
FOXP1,0.0
FOXP4,0.0
FOXRED1,0.0
FOXRED2,0.0
FPGS,0.0
FRA10AC1,0.0
FOXK1,0.0
FIP1L1,0.0
FIS1,0.0
FKBP11,0.0
FKBP15,0.0
FKBP1A,0.0
FKBP2,0.0
FKBP3,0.0
FKBP4,0.0
FKBP5,0.0
FKBP7,0.0
FKBP8,0.0
FN3KRP,0.0
FKTN,0.0
FLAD1,0.0
FLCN,0.0
FLII,0.0
FLNA,0.0
FLNB,0.0
FLOT1,0.0
FLOT2,0.0
FLT1,0.0
FLYWCH2,0.0
FMNL3,0.0
FMR1,0.0
FKRP,0.0
MECP2,0.0
MECR,0.0
MED1,0.0
MED11,0.0
MED12,0.0
MED12L,0.0
MED13,0.0
MED13L,0.0
MED14,0.0
MED15,0.0
MED16,0.0
IKBKB,0.0
MED18,0.0
MED19,0.0
MED20,0.0
MED21,0.0
MED22,0.0
MED23,0.0
MED24,0.0
MED27,0.0
MED28,0.0
MED29,0.0
MED30,0.0
MED31,0.0
MED17,0.0
MCM3AP,0.0
MCM4,0.0
MCM5,0.0
MCM6,0.0
MCM7,0.0
MCM8,0.0
MCM9,0.0
MCMBP,0.0
MCPH1,0.0
MCRS1,0.0
MCTS1,0.0
MECOM,0.0
MDC1,0.0
MDH1,0.0
MDH2,0.0
MDK,0.0
MDM1,0.0
MDM2,0.0
MDM4,0.0
MDN1,0.0
MDP1,0.0
ME2,0.0
MEA1,0.0
MEAF6,0.0
MCU,0.0
METTL4,0.0
METTL5,0.0
METTL6,0.0
METTL8,0.0
METTL9,0.0
MEX3A,0.0
MEX3C,0.0
MFAP3,0.0
MFF,0.0
MFGE8,0.0
MFHAS1,0.0
MED4,0.0
MFN2,0.0
MFSD1,0.0
MFSD10,0.0
MFSD11,0.0
MFSD12,0.0
MFSD3,0.0
MFSD5,0.0
MFSD6,0.0
MFSD8,0.0
MGA,0.0
MGAT1,0.0
MGAT2,0.0
MFN1,0.0
MED6,0.0
MED7,0.0
MED8,0.0
MED9,0.0
MEF2A,0.0
MEF2D,0.0
MEGF8,0.0
MEGF9,0.0
MELK,0.0
MEMO1,0.0
MEN1,0.0
METTL3,0.0
METAP1,0.0
METAP1D,0.0
METAP2,0.0
METTL1,0.0
METTL14,0.0
METTL15,0.0
METTL16,0.0
METTL17,0.0
METTL18,0.0
METTL21A,0.0
METTL22,0.0
METTL23,0.0
MEPCE,0.0
MAN2A2,0.0
MAN2B1,0.0
MAN2B2,0.0
MAN2C1,0.0
MANBA,0.0
MANBAL,0.0
MANEA,0.0
MANF,0.0
MAP1LC3B,0.0
MAP1S,0.0
MAP2K1,0.0
MCM3,0.0
MAP2K3,0.0
MAP2K4,0.0
MAP2K7,0.0
MAP3K1,0.0
MAP3K2,0.0
MAP3K3,0.0
MAP3K4,0.0
MAP3K7,0.0
MAP4,0.0
MAP4K4,0.0
MAP4K5,0.0
MAP7D1,0.0
MAP2K2,0.0
LZTR1,0.0
LZTS1,0.0
LZTS2,0.0
M6PR,0.0
MACF1,0.0
MAD1L1,0.0
MAD2L1,0.0
MAD2L1BP,0.0
MAD2L2,0.0
MADD,0.0
MAEA,0.0
MAN2A1,0.0
MAFG,0.0
MAGI3,0.0
MAGOH,0.0
MAGOHB,0.0
MAGT1,0.0
MAK,0.0
MAK16,0.0
MALSU1,0.0
MALT1,0.0
MAML1,0.0
MAN1A2,0.0
MAN1B1,0.0
MAF1,0.0
MAVS,0.0
MAX,0.0
MAZ,0.0
MBD1,0.0
MBD2,0.0
MBD3,0.0
MBD4,0.0
MBIP,0.0
MBLAC2,0.0
MBNL1,0.0
MBOAT1,0.0
MAPK1,0.0
MBOAT7,0.0
MBTD1,0.0
MBTPS1,0.0
MBTPS2,0.0
MCC,0.0
MCCC1,0.0
MCCC2,0.0
MCEE,0.0
MCFD2,0.0
MCL1,0.0
MCM10,0.0
MCM2,0.0
MBOAT2,0.0
MAPK14,0.0
MAPK1IP1L,0.0
MAPK3,0.0
MAPK6,0.0
MAPK7,0.0
MAPK8,0.0
MAPK9,0.0
MAPKAP1,0.0
MAPKAPK2,0.0
MAPKAPK3,0.0
MAPKAPK5,0.0
MAPRE1,0.0
MAU2,0.0
MARCKSL1,0.0
MARK2,0.0
MARK3,0.0
MARS,0.0
MARS2,0.0
MARVELD1,0.0
MAST2,0.0
MAST3,0.0
MASTL,0.0
MAT2A,0.0
MAT2B,0.0
MATR3,0.0
MAPRE2,0.0
MRPL45,0.0
MRPL46,0.0
MRPL47,0.0
MRPL48,0.0
MRPL49,0.0
MRPL50,0.0
MRPL51,0.0
MRPL52,0.0
MRPL54,0.0
MRPL55,0.0
MRPL9,0.0
MGAT4A,0.0
MRPS11,0.0
MRPS12,0.0
MRPS14,0.0
MRPS15,0.0
MRPS16,0.0
MRPS17,0.0
MRPS18A,0.0
MRPS18B,0.0
MRPS18C,0.0
MRPS2,0.0
MRPS21,0.0
MRPS22,0.0
MRPS10,0.0
MRPL19,0.0
MRPL2,0.0
MRPL20,0.0
MRPL21,0.0
MRPL22,0.0
MRPL23,0.0
MRPL24,0.0
MRPL27,0.0
MRPL28,0.0
MRPL3,0.0
MRPL30,0.0
MRPL44,0.0
MRPL33,0.0
MRPL34,0.0
MRPL35,0.0
MRPL36,0.0
MRPL37,0.0
MRPL38,0.0
MRPL39,0.0
MRPL4,0.0
MRPL40,0.0
MRPL41,0.0
MRPL42,0.0
MRPL43,0.0
MRPL32,0.0
MSL3,0.0
MSMO1,0.0
MSN,0.0
MSRB1,0.0
MSRB2,0.0
MSTO1,0.0
MTA1,0.0
MTA2,0.0
MTA3,0.0
MTBP,0.0
MTCH1,0.0
MRPS23,0.0
MTDH,0.0
MTF1,0.0
MTF2,0.0
MTFMT,0.0
MTFP1,0.0
MTFR1,0.0
MTG1,0.0
MTHFD1,0.0
MTHFD1L,0.0
MTHFD2,0.0
MTHFD2L,0.0
MTHFR,0.0
MTCH2,0.0
MRPS24,0.0
MRPS25,0.0
MRPS26,0.0
MRPS27,0.0
MRPS28,0.0
MRPS30,0.0
MRPS31,0.0
MRPS33,0.0
MRPS34,0.0
MRPS35,0.0
MRPS36,0.0
MRPS5,0.0
MSL2,0.0
MRPS7,0.0
MRPS9,0.0
MRRF,0.0
MRS2,0.0
MRTO4,0.0
MSANTD2,0.0
MSANTD3,0.0
MSANTD4,0.0
MSH2,0.0
MSH3,0.0
MSH6,0.0
MSL1,0.0
MRPS6,0.0
MIS18BP1,0.0
MITD1,0.0
MKI67,0.0
MKKS,0.0
MKLN1,0.0
MKNK2,0.0
MKRN1,0.0
MKRN2,0.0
MLEC,0.0
MLF2,0.0
MLH1,0.0
MRPL18,0.0
MLLT1,0.0
MLLT10,0.0
MLLT11,0.0
MLLT6,0.0
MLST8,0.0
MLX,0.0
MLXIP,0.0
MMAA,0.0
MMAB,0.0
MMACHC,0.0
MMADHC,0.0
MMD,0.0
MLH3,0.0
MGAT4B,0.0
MGAT5,0.0
MGMT,0.0
MGRN1,0.0
MGST3,0.0
MIA3,0.0
MIB1,0.0
MICAL1,0.0
MICAL3,0.0
MICALL1,0.0
MICU1,0.0
MIS18A,0.0
MIDN,0.0
MIEN1,0.0
MIER1,0.0
MIER2,0.0
MIER3,0.0
MIF,0.0
MIF4GD,0.0
MIIP,0.0
MINK1,0.0
MIOS,0.0
MIPEP,0.0
MIS12,0.0
MID1IP1,0.0
MPHOSPH9,0.0
MPI,0.0
MPLKIP,0.0
MPP1,0.0
MPP5,0.0
MPP6,0.0
MPP7,0.0
MPPE1,0.0
MPRIP,0.0
MPV17,0.0
MPV17L2,0.0
MMGT1,0.0
MREG,0.0
MRFAP1,0.0
MRI1,0.0
MRPL1,0.0
MRPL10,0.0
MRPL11,0.0
MRPL12,0.0
MRPL13,0.0
MRPL14,0.0
MRPL15,0.0
MRPL16,0.0
MRPL17,0.0
MR1,0.0
MMS19,0.0
MMS22L,0.0
MNAT1,0.0
MND1,0.0
MNS1,0.0
MNT,0.0
MOB1A,0.0
MOB1B,0.0
MOB3A,0.0
MOB3B,0.0
MOB4,0.0
MOCS2,0.0
MPHOSPH8,0.0
MON2,0.0
MORC3,0.0
MORF4L1,0.0
MORF4L2,0.0
MOSPD1,0.0
MOSPD2,0.0
MOSPD3,0.0
MOV10,0.0
MPDU1,0.0
MPG,0.0
MPHOSPH10,0.0
MPHOSPH6,0.0
MON1B,0.0
JARID2,0.0
JDP2,0.0
JKAMP,0.0
JMJD1C,0.0
JMJD4,0.0
JMJD6,0.0
JMJD8,0.0
JMY,0.0
JOSD1,0.0
JPH1,0.0
JRK,0.0
LZTFL1,0.0
JTB,0.0
JUND,0.0
KANK1,0.0
KANK2,0.0
KANSL1,0.0
KANSL1L,0.0
KANSL2,0.0
KANSL3,0.0
KARS,0.0
KAT2A,0.0
KAT5,0.0
KAT6A,0.0
JRKL,0.0
ISYNA1,0.0
ITCH,0.0
ITFG1,0.0
ITFG2,0.0
ITGA5,0.0
ITGA6,0.0
ITGAE,0.0
ITGB1,0.0
ITGB1BP1,0.0
ITGB3BP,0.0
ITM2B,0.0
JAKMIP2,0.0
ITPA,0.0
ITPK1,0.0
ITPR1,0.0
ITPR2,0.0
ITPR3,0.0
ITSN1,0.0
ITSN2,0.0
IVD,0.0
IVNS1ABP,0.0
IWS1,0.0
JAGN1,0.0
JAK1,0.0
ITM2C,0.0
KDM3B,0.0
KDM4A,0.0
KDM4B,0.0
KDM4C,0.0
KDM5A,0.0
KDM5B,0.0
KDM5C,0.0
KDM6A,0.0
KDSR,0.0
KEAP1,0.0
KHDRBS1,0.0
KAT6B,0.0
KHK,0.0
KHNYN,0.0
KHSRP,0.0
KIDINS220,0.0
KIF11,0.0
KIF13A,0.0
KIF13B,0.0
KIF14,0.0
KIF15,0.0
KIF16B,0.0
KIF18A,0.0
KIF18B,0.0
KHDRBS3,0.0
KAT7,0.0
KAT8,0.0
KATNA1,0.0
KATNAL1,0.0
KATNB1,0.0
KBTBD2,0.0
KBTBD3,0.0
KBTBD4,0.0
KBTBD7,0.0
KCMF1,0.0
KCNMB4,0.0
KDM3A,0.0
KCTD2,0.0
KCTD20,0.0
KCTD3,0.0
KCTD5,0.0
KCTD6,0.0
KCTD7,0.0
KCTD9,0.0
KDELR1,0.0
KDELR2,0.0
KDM1A,0.0
KDM2A,0.0
KDM2B,0.0
KCTD10,0.0
ILF2,0.0
ILF3,0.0
ILKAP,0.0
ILVBL,0.0
IMMP1L,0.0
IMMP2L,0.0
IMMT,0.0
IMP3,0.0
IMP4,0.0
IMPA1,0.0
IMPA2,0.0
ISY1,0.0
IMPDH2,0.0
INCENP,0.0
INF2,0.0
ING1,0.0
ING2,0.0
ING3,0.0
ING4,0.0
ING5,0.0
INO80,0.0
INO80C,0.0
INO80D,0.0
INO80E,0.0
IMPAD1,0.0
IFT27,0.0
IFT46,0.0
IFT52,0.0
IFT57,0.0
IFT80,0.0
IFT81,0.0
IFT88,0.0
IGBP1,0.0
IGF1R,0.0
IGF2BP3,0.0
IGF2R,0.0
ILDR2,0.0
IGSF3,0.0
IGSF8,0.0
IK,0.0
IKBIP,0.0
ELMOD2,0.0
IKZF4,0.0
